#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2023-04-06T20:37:25 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ642f2c8d2a0b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/444/3258&tab:{J/MNRAS/444/3258/SNe}&key:source=J/MNRAS/444/3258&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/444/3258/SNe
#-order=I
#-out=SN
#-out=z
#-out=S
#-out=MJDmax
#-out=Phase
#-out=V4130
#-out=e_V4130
#-out=W4130
#-out=e_W4130
#-out=V5972
#-out=e_V5972
#-out=W5972
#-out=e_W5972
#-out=V5355
#-out=e_V5355
#-out=W5355
#-out=e_W5355
#-out=V-PVF
#-out=e_V-PVF
#-out=W-PVF
#-out=e_W-PVF
#-out=V-HVF
#-out=e_V-HVF
#-out=W-HVF
#-out=e_W-HVF
#

#RESOURCE=yCat_74443258
#Name: J/MNRAS/444/3258
#Title: Velocities and EW of PTF SNe Ia (Maguire+, 2014)
#Table	J_MNRAS_444_3258_SNe:
#Name: J/MNRAS/444/3258/SNe
#Title: Light-curve information, heliocentric  redshift and spectral measurement information for each SN Ia in the sample
#Column	SN	(A9)	Supernova designation	[ucd=meta.id;meta.main]
#Column	z	(F9.6)	[0/0.2] Heliocentric redshift	[ucd=src.redshift]
#Column	S	(F5.2)	[0.6/1.7] Stretch parameter	[ucd=stat.fit.param]
#Column	MJDmax	(F7.1)	Maximum light MJD	[ucd=time.epoch]
#Column	Phase	(F5.1)	[-18/5] Phase (days after maximum)	[ucd=time.interval]
#Column	V4130	(I5)	[7699/13958]? SiII 4130 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V4130	(I4)	[25/2222]? rms uncertainty on V4130 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W4130	(F4.1)	[1/38]? SiII 4130 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W4130	(F4.1)	[0.1/4]? rms uncertainty on W4130 (1)	[ucd=stat.error]
#Column	V5972	(I5)	[8000/19000]? SiII 5972 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V5972	(I4)	[15/5352]? rms uncertainty on V5972 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W5972	(F4.1)	[3/58]? SiII 5972 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W5972	(F4.1)	[0.2/3.5]? rms uncertainty on W5972 (1)	[ucd=stat.error]
#Column	V5355	(I5)	[8400/21300]? SiII 5355 line velocity [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V5355	(I4)	[3/600]? rms uncertainty on V5355 (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W5355	(F5.1)	[9/227]? SiII 5355 pseudo-equivalent width	[ucd=spect.line.width]
#Column	e_W5355	(F4.1)	[0.1/7.6]? rms uncertainty on W5355 (1)	[ucd=stat.error]
#Column	V-PVF	(I5)	[8220/25150]? - PVF line velocity (2) [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V-PVF	(I4)	[6/3741]? rms uncertainty on V-PVF (1) [NULL integer written as an empty string]	[ucd=stat.error]
#Column	W-PVF	(F5.1)	[17/343]? - PVF pseudo-equivalent width (2)	[ucd=spect.line.width]
#Column	e_W-PVF	(F4.1)	[0.1/59]? rms uncertainty on W-PVF (1)	[ucd=stat.error]
#Column	V-HVF	(I5)	[14789/38210]? - HVF line velocity (2) [NULL integer written as an empty string]	[ucd=spect.dopplerVeloc]
#Column	e_V-HVF	(I4)	[6/3741]? rms uncertainty on V-HVF (1) [NULL integer written as an empty string]	[ucd=stat.error;phot.color;em.opt.V]
#Column	W-HVF	(F5.1)	[0/426]? - HVF pseudo-equivalent width (2)	[ucd=spect.line.width]
#Column	e_W-HVF	(F4.1)	[0/57]? rms uncertainty on W-HVF (1)	[ucd=stat.error]
SN|z|S|MJDmax|Phase|V4130|e_V4130|W4130|e_W4130|V5972|e_V5972|W5972|e_W5972|V5355|e_V5355|W5355|e_W5355|V-PVF|e_V-PVF|W-PVF|e_W-PVF|V-HVF|e_V-HVF|W-HVF|e_W-HVF
PTF11ai  | 0.090000| 0.79|55569.1|  4.9| 9627| 301|14.6| 0.4|     |    |    |    |10355| 303|125.3| 3.0|     |    |     |    |     |    |     |
PTF11alo | 0.018000| 0.64|55599.8| -6.8| 9692| 299|20.6| 0.3| 9984| 300|18.3| 0.5|10354| 298| 60.7| 0.3|     |    |     |    |     |    |     |
PTF11apk | 0.040500| 0.97|55614.2| -7.2|10695|  58|29.0| 1.1|10774|  35|56.2| 0.6|12147|  35|146.0| 1.0|11757|2496|192.3|43.4|17315|2496| 59.7|42.1
PTF11apk | 0.040500| 0.97|55614.2| -0.2| 8653|  55|25.3| 0.9| 9515|  38|50.7| 0.8|10310|  31|139.7| 0.6|10905|1800|273.5|22.0|14961|1800| 16.9|22.1
PTF11apq | 0.072400| 1.09|55611.6|  2.4|     |    |    |    |     |    |    |    | 8653|  35| 34.2| 0.9|     |    |     |    |     |    |     |
PTF11bas | 0.085000| 0.96|55640.1|-10.1|12790| 471| 9.5| 2.0|     |    |    |    |15290| 314| 58.9| 1.6|     |    |     |    |     |    |     |
PTF11bas | 0.085000| 0.96|55640.1| -5.1|     |    |    |    |     |    |    |    |13142| 310|121.0| 2.9|     |    |     |    |     |    |     |
PTF11bju | 0.032300| 1.15|55650.1| -7.1|     |    |    |    |     |    |    |    |10956| 332| 16.8| 0.8|     |    |     |    |     |    |     |
PTF11blu | 0.068000| 1.10|55647.0| -2.0| 9263| 301|10.1| 0.6|     |    |    |    |10495| 300| 85.4| 1.4|     |    |     |    |     |    |     |
PTF11bmc | 0.140000| 0.93|55643.1| -6.1|     |    |    |    |     |    |    |    |12916| 301|149.7| 2.1|     |    |     |    |     |    |     |
PTF11bnx | 0.055080| 1.03|55653.0| -8.0|     |    |    |    |     |    |    |    |11569|  59| 97.2| 2.0|     |    |     |    |     |    |     |
PTF11bui | 0.028460| 1.10|55675.2|-12.2|     |    |    |    |     |    |    |    |19993|  65|131.2| 1.0|     |    |     |    |     |    |     |
PTF11bui | 0.028460| 1.10|55675.2| -4.2|     |    |    |    |     |    |    |    |14264|  57| 62.5| 1.9|13801|  56| 47.2| 0.5|20365|  56| 33.9| 0.7
PTF11byi | 0.038900| 1.18|55668.8| -6.7|10299|  62|21.7| 0.9|11077|  41|31.6| 0.7|11564|  37| 90.8| 0.6|     |    |     |    |     |    |     |
PTF11byi | 0.038900| 1.18|55668.8| -0.7|     |    |    |    | 8024|  41|27.5| 0.6| 8625|  43|103.7| 1.1|     |    |     |    |     |    |     |
PTF11cao | 0.040000| 1.01|55670.4| -5.4|10134| 305|10.7| 0.9|10843| 330| 9.4| 1.6|13109| 301|149.0| 2.9|10896| 645|129.9|30.8|20770| 645|173.2|17.6
PTF11ctn | 0.079000| 1.17|55685.6| -2.6|10137| 317| 3.3| 0.5|     |    |    |    |10156| 298| 40.8| 1.1| 8646| 519| 49.8| 8.4|20046| 519| 56.3| 5.9
PTF11cus | 0.198670| 1.14|55681.6|  3.4| 9263|  50|10.3| 0.5|     |    |    |    |10983|  46|119.9| 1.9|     |    |     |    |     |    |     |
PTF11cyv | 0.115000| 1.07|55694.4| -1.4|10700| 366| 5.4| 0.7|     |    |    |    |10398| 301| 49.2| 1.5|     |    |     |    |     |    |     |
PTF11ddx | 0.135060| 0.96|55697.2| -4.2|10596|  88|14.1| 1.6|     |    |    |    |10579|  64| 68.0| 1.9|     |    |     |    |     |    |     |
PTF11dec | 0.101100| 0.97|55699.9| -5.9| 9798| 747| 9.0| 1.9|     |    |    |    |12225| 111|110.9| 4.7|     |    |     |    |     |    |     |
PTF11deg | 0.063000| 0.96|55695.6| -1.6| 9677| 327|15.0| 2.3|     |    |    |    |11724| 299|144.0| 1.6|     |    |     |    |     |    |     |
PTF11dhq | 0.088000| 1.24|55687.1|  4.9| 8880| 299| 7.8| 0.5|     |    |    |    | 9785| 302| 57.9| 1.5|     |    |     |    |     |    |     |
PTF11dtm | 0.112000| 1.22|55715.4|  3.6| 9688| 301| 7.7| 0.4|     |    |    |    |10588| 302| 57.0| 1.7|     |    |     |    |     |    |     |
PTF11dva | 0.060490| 0.96|55716.2|  3.8| 9454| 133|16.9| 0.9| 9711|  34|18.0| 0.3|10142|  21| 73.7| 0.6|     |    |     |    |     |    |     |
PTF11dws | 0.150000| 1.11|55715.3| -2.3|     |    |    |    |10360| 320|10.2| 0.9|12637| 301| 70.6| 1.0|     |    |     |    |     |    |     |
PTF11dxu | 0.024500| 1.15|55714.6| -3.6|     |    |    |    |     |    |    |    |10827|  35| 46.5| 0.7| 8902|  46| 17.6| 0.8|20043|  46| 55.4| 0.8
PTF11dzm | 0.041140| 0.86|55721.9|-10.9|11146|  43|36.1| 0.7|     |    |    |    |15008|  40|226.1| 2.9|     |    |     |    |     |    |     |
PTF11dzm | 0.041140| 0.86|55721.9| -0.9|10076|  69|28.2| 1.2|10666|  18|33.0| 0.3|11232|  60|126.7| 2.4|10671| 780|118.2| 7.2|15285| 780| 53.7| 5.5
PTF11ecn | 0.062000| 0.70|55715.6| -3.6|     |    |    |    | 9507| 302|49.0| 1.6|11336| 304|142.7| 3.2|     |    |     |    |     |    |     |
PTF11ecn | 0.062000| 0.70|55715.6| -0.6|     |    |    |    | 8567| 298|36.7| 0.4| 9843| 302|139.4| 1.8| 8220| 301|126.4| 1.3|15297| 301|230.4| 0.8
PTF11eot | 0.090000| 1.01|55720.6| -0.6| 9775| 302|13.1| 0.4|     |    |    |    |11421| 302| 96.4| 2.4|     |    |     |    |     |    |     |
PTF11fjw | 0.193000| 0.99|55721.6| -1.6|     |    |    |    |     |    |    |    |10684| 305| 34.8| 3.0|     |    |     |    |     |    |     |
PTF11for | 0.128000| 0.77|55726.6| -2.6|     |    |    |    |     |    |    |    |12106| 309| 62.1| 1.8|     |    |     |    |     |    |     |
PTF11gcc | 0.090790| 0.99|55743.5| -7.5|     |    |    |    |     |    |    |    |13602|  87|123.6| 2.5|     |    |     |    |     |    |     |
PTF11gcc | 0.090790| 0.99|55743.5|  3.5| 9850|  94|10.7| 1.0|     |    |    |    |11304|  44|106.1| 1.8|     |    |     |    |     |    |     |
PTF11gdh | 0.026150| 1.01|55743.8| -2.8|     |    |    |    |     |    |    |    | 9838|  14| 14.3| 0.1|     |    |     |    |     |    |     |
PTF11gdh | 0.026150| 1.01|55743.8|  3.2|     |    |    |    |     |    |    |    |10100|  33| 26.0| 0.6|     |    |     |    |     |    |     |
PTF11gin | 0.163000| 0.79|55743.6| -2.6| 9696| 336|13.8| 1.4|     |    |    |    |11347| 300| 65.3| 1.3|     |    |     |    |     |    |     |
PTF11gjb | 0.125000| 0.87|55740.9|  0.1|     |    |    |    |     |    |    |    |10601| 300| 30.9| 0.7|     |    |     |    |     |    |     |
PTF11gjh | 0.039300| 0.93|55746.6| -5.6|     |    |    |    |     |    |    |    |11582| 238| 45.8| 3.4|     |    |     |    |     |    |     |
PTF11glq | 0.156000| 0.71|55739.1|  1.9|     |    |    |    |     |    |    |    | 9916| 341| 15.6| 1.7|     |    |     |    |     |    |     |
PTF11gpb | 0.160000| 0.75|55746.8| -5.8|     |    |    |    |     |    |    |    |13648| 335| 64.7| 2.5|     |    |     |    |     |    |     |
PTF11hub | 0.028700| 0.80|55769.9|-11.9|     |    |    |    |13704| 513|17.4| 3.1|14938|  40|139.4| 1.6|12622| 113| 95.3| 5.5|22787| 113|425.3| 8.9
PTF11hub | 0.028700| 0.80|55769.9|-10.9|     |    |    |    |12092|  93|21.0| 0.9|14754|  30|138.3| 0.4|14146| 108|150.7| 3.8|23589| 108|311.0| 4.0
PTF11hub | 0.028700| 0.80|55769.9|  4.1| 9764|  41|25.2| 0.4|10715|  36|23.0| 0.2|11093|  30|124.4| 0.2|11539|  40|221.7| 0.2|19091|  40| 10.0| 0.2
PTF11jaw | 0.140000| 0.97|55773.4| -2.4| 9961| 300|11.5| 0.6|     |    |    |    |10068| 371| 99.5| 7.0|     |    |     |    |     |    |     |
PTF11jgq | 0.129000| 1.16|55780.8| -6.8| 9084| 308|15.2| 0.7|     |    |    |    |10636| 300| 43.5| 1.1|     |    |     |    |     |    |     |
PTF11kfk | 0.005027| 0.82|55788.2| -2.2|     |    |    |    |11502|  86|22.4| 1.1|12789|  22|167.9| 1.1|11653|  14|198.4| 0.4|17636|  14| 52.7| 0.6
PTF11kfk | 0.005027| 0.82|55788.2| -0.2|     |    |    |    |11396|  25|18.7| 0.2|12448|  46|173.2| 2.3|11516| 288|211.5| 4.9|17458| 288| 48.0| 4.2
PTF11khk | 0.030991| 0.64|55785.0| -1.0|     |    |    |    | 8878|  42|57.1| 0.6| 9224|  36|117.3| 0.4|     |    |     |    |     |    |     |
PTF11kjn | 0.023343| 0.65|55798.9| -8.9|     |    |    |    |11361|  80|27.2| 1.2|11951|  46| 91.6| 1.8|12954|1629|266.1| 4.0|23961|1629| 51.6| 4.9
PTF11klo | 0.028000| 1.13|55798.9| -1.9|     |    |    |    |     |    |    |    |10490| 298| 90.2| 0.9|     |    |     |    |     |    |     |
PTF11klt | 0.180000| 0.68|55798.6|  4.4|     |    |    |    |     |    |    |    |11584| 304|109.5| 4.0|     |    |     |    |     |    |     |
PTF11kly | 0.000804| 0.95|55814.8|-16.8|11058| 151|11.4| 1.0|13235|  18|24.9| 0.2|15313|  32|113.7| 1.1|     |    |     |    |     |    |     |
PTF11kly | 0.000804| 0.95|55814.8|-15.8|11947|  86|14.0| 0.6|12714|  44|23.4| 0.4|14697|  25|110.5| 0.8|14917|  21|213.9| 0.8|24213|  21|178.1| 1.2
PTF11kly | 0.000804| 0.95|55814.8|-13.8|10808|  87| 9.7| 0.6|11608|  40|18.0| 0.4|13170|  11| 91.5| 0.3|13025|   8|167.6| 0.4|21544|   8|173.8| 0.5
PTF11kly | 0.000804| 0.95|55814.8|-13.8|10285|  55|12.6| 0.4|11553|  36|15.6| 0.5|13324|   9|104.9| 0.4|12946|   7|173.1| 0.5|21564|   7|177.7| 0.5
PTF11kly | 0.000804| 0.95|55814.8|-11.8| 9719|  69| 8.3| 0.8|10578|  18|27.0| 0.4|12237|  13|101.5| 0.6|11020|  20|116.9| 0.8|19305|  20|101.5| 0.6
PTF11kly | 0.000804| 0.95|55814.8|-10.8|10179|  50|13.6| 0.6| 9721|  40|26.2| 0.5|11946|   9|102.8| 0.4|10904|   6|100.8| 0.1|19148|   6| 89.7| 0.2
PTF11kly | 0.000804| 0.95|55814.8|-10.8| 9636|  67|12.1| 0.7|10547|  16|24.9| 0.3|11830|   3| 94.4| 0.1|10816|  28| 99.6| 0.4|18823|  28| 65.0| 0.7
PTF11kly | 0.000804| 0.95|55814.8| -9.8| 9599|  68|13.2| 0.7|10407|  15|21.6| 0.2|11362|   5| 92.1| 0.3|10233|  81| 85.4| 0.4|18862|  81| 56.6| 1.0
PTF11kly | 0.000804| 0.95|55814.8| -7.8| 9544|  87|12.9| 0.9|10676|  28|15.8| 0.3|11395|  10| 89.9| 0.4|10537|  88| 68.7| 0.3|18995|  88| 33.7| 0.6
PTF11kly | 0.000804| 0.95|55814.8|  0.2|     |    |    |    |10945|  82|30.8| 1.9|10495|  35| 93.5| 1.6|     |    |     |    |     |    |     |
PTF11kpb | 0.143000| 1.19|55801.6| -0.6|10331| 301| 1.5| 0.3|     |    |    |    |10339| 298| 33.2| 0.4|     |    |     |    |     |    |     |
PTF11ksk | 0.106000| 1.02|55808.2| -7.2| 9813| 314| 6.8| 0.9|     |    |    |    |11091| 298| 84.3| 0.5| 9703| 301| 73.9| 2.3|19850| 301| 91.1| 1.7
PTF11ksu | 0.069600| 0.93|55807.8| -6.8|11469| 143| 2.4| 0.6|     |    |    |    |11246|  78| 10.2| 0.5|     |    |     |    |     |    |     |
PTF11kx  | 0.045900| 1.03|55590.5| -1.5|     |    |    |    |12337| 136| 7.4| 0.4|11027|  50| 29.0| 1.3|     |    |     |    |     |    |     |
PTF11lih | 0.072000| 0.91|55810.9| -5.9|10492| 302|13.3| 0.6|     |    |    |    |11557| 305| 43.1| 1.0|     |    |     |    |     |    |     |
PTF11lmz | 0.061500| 0.75|55806.3|  0.7|     |    |    |    |     |    |    |    |13674|  36| 95.8| 0.5|     |    |     |    |     |    |     |
PTF11mto | 0.093700| 1.12|55827.4|  2.6| 8851|  69|10.9| 0.7| 9586|  56| 7.7| 0.3|10016|  30| 80.2| 0.4| 9311|  35| 80.0| 0.7|19199|  35| 97.6| 0.7
PTF11mty | 0.077000| 1.11|55837.5| -9.5|11399| 303| 4.7| 0.7|     |    |    |    |11274| 305| 20.9| 0.9|     |    |     |    |     |    |     |
PTF11mxk | 0.085000| 1.15|55838.2| -5.2|     |    |    |    |     |    |    |    |10101| 315| 45.2| 2.4|     |    |     |    |     |    |     |
PTF11ao  | 0.108500| 0.97|55582.1| -8.1|     |    |    |    |     |    |    |    |16488| 104| 85.0| 2.2|     |    |     |    |     |    |     |
PTF11okh | 0.019000| 0.66|55850.0| -7.0|     |    |    |    |     |    |    |    |10570| 339| 61.8| 5.2|     |    |     |    |     |    |     |
PTF11opu | 0.065500| 1.24|55853.6|  2.4|     |    |    |    | 9287| 322|19.7| 2.6| 9791| 301| 72.3| 1.7|     |    |     |    |     |    |     |
PTF11pra | 0.017555| 0.95|55867.9| -4.9|     |    |    |    | 9625|  59|40.8| 1.1|10777|  21|109.7| 0.8| 9715| 151|181.1| 8.6|18307| 151|182.3| 5.1
PTF11pra | 0.017555| 0.95|55867.9| -3.9|     |    |    |    | 9823|  35|48.9| 1.1|10503|  26|127.5| 1.0|10254|  72|211.8| 2.4|17994|  72|139.4| 2.4
PTF11qmo | 0.055000| 1.09|55892.4| -4.4| 9650| 303|10.1| 0.8|     |    |    |    |10895| 299| 61.3| 1.2|     |    |     |    |     |    |     |
PTF11qmo | 0.055000| 1.09|55892.4| -4.4| 9538| 318| 5.5| 1.0| 9929| 319|15.1| 0.8|10512| 298| 72.2| 0.6|     |    |     |    |     |    |     |
PTF11qmo | 0.055000| 1.09|55892.4|  4.6| 8958| 301|10.9| 0.5|11481| 306|17.0| 0.5|10123| 298| 88.7| 0.2| 9577| 300|126.3| 0.6|16887| 300| 53.4| 0.6
PTF11qnr | 0.016228| 1.17|55906.2|-15.2|12388|  52| 8.5| 0.3|     |    |    |    |14671|  33|133.2| 1.4|17049| 127|248.2| 4.6|25677| 127|165.1| 4.7
PTF11qnr | 0.016228| 1.17|55906.2| -9.2|11016|  98|16.6| 0.9|11272|  53|18.9| 0.6|12041|   9| 82.8| 0.4|11277| 135| 58.7| 0.5|21389| 135| 39.6| 1.6
PTF11qpc | 0.088810| 1.12|55895.4|  1.6|     |    |    |    |     |    |    |    |10632|  24| 70.7| 0.7| 9276| 245| 29.8| 1.5|17338| 245| 49.6| 2.9
PTF11rke | 0.094300| 1.03|55921.3| -0.3|11636|  61| 4.4| 0.6|     |    |    |    |12348|  46| 66.7| 1.3|     |    |     |    |     |    |     |
PTF11rke | 0.094300| 1.03|55921.3|  0.7|11830|  39| 6.6| 0.3|     |    |    |    |12256|  33| 53.7| 0.4|     |    |     |    |     |    |     |
PTF11rns | 0.116000| 1.04|55929.4| -4.4|     |    |    |    |     |    |    |    |13055| 304|108.8| 1.6|     |    |     |    |     |    |     |
PTF11rnu | 0.082000| 1.22|55932.0| -7.0|     |    |    |    |     |    |    |    |12134| 429| 69.0| 6.1|     |    |     |    |     |    |     |
PTF11rpz | 0.066000| 1.17|55938.5|-10.5|     |    |    |    |     |    |    |    |14059| 300|162.8| 1.8|     |    |     |    |     |    |     |
PTF11tl  | 0.070200| 0.89|55590.8| -1.8|     |    |    |    |     |    |    |    |10490|  70| 14.4| 0.5|     |    |     |    |     |    |     |
PTF11v   | 0.037016| 0.75|55577.1| -3.1|10728| 121|19.6| 1.4|10830| 110|21.2| 1.3|12583|  54|118.4| 0.7|     |    |     |    |     |    |     |
PTF11wv  | 0.090000| 0.99|55596.3| -7.3|     |    |    |    |     |    |    |    |10381| 302| 28.4| 1.0|     |    |     |    |     |    |     |
PTF11yp  | 0.121000| 1.01|55591.3| -2.3|     |    |    |    |     |    |    |    | 8812| 300| 16.8| 0.3|     |    |     |    |     |    |     |
PTF12asw | 0.132000| 1.09|55978.2| -0.2|11382| 311| 5.3| 0.7|     |    |    |    |12488| 298| 97.1| 0.8|     |    |     |    |     |    |     |
PTF12awi | 0.045500| 1.03|55988.0| -1.0|     |    |    |    |     |    |    |    | 9727|  56| 38.6| 1.2|     |    |     |    |     |    |     |
PTF12cdb | 0.116000| 0.82|56022.4| -0.4|     |    |    |    | 9828| 305|11.1| 0.8|12068| 298| 80.2| 0.7|     |    |     |    |     |    |     |
PTF12cjg | 0.067000| 0.94|56024.8| -2.8|     |    |    |    | 9662| 315|13.5| 0.8|11080| 298| 88.8| 0.8|10612| 322| 89.4| 1.4|18655| 322| 31.0| 2.1
PTF12czu | 0.147000| 1.19|56034.7|  2.3|11097| 353| 3.1| 0.5|     |    |    |    |10709| 334| 45.5| 2.6|     |    |     |    |     |    |     |
PTF12dco | 0.074564| 1.14|56040.5|  4.5|10749|  85| 9.3| 1.2|12514| 108| 9.1| 0.9|13116|  27|115.6| 0.6|     |    |     |    |     |    |     |
PTF12dhb | 0.056500| 1.15|56041.6| -1.6|10061|  55|10.3| 0.4|10224|  49| 9.0| 0.4|10671|  38| 75.0| 0.7| 9858| 146| 52.7| 1.4|19863| 146| 63.5| 2.7
PTF12dhb | 0.056500| 1.15|56041.6| -0.6| 9693|  82|13.2| 1.1| 9533|  58|12.3| 0.4|10701|  32|111.0| 0.8|     |    |     |    |     |    |     |
PTF12dhl | 0.057000| 0.82|56041.2| -1.2|10401| 379|17.1| 1.4|10201| 330| 7.6| 0.8|10441| 300| 46.9| 0.9|     |    |     |    |     |    |     |
PTF12dst | 0.192000| 1.19|56050.7|  0.3|     |    |    |    |     |    |    |    | 9385| 299| 18.5| 0.7|     |    |     |    |     |    |     |
PTF12dwm | 0.053200| 0.84|56053.0| -7.0|10605|  80|10.9| 0.8|10167|  64|19.8| 1.1|10343|  30| 66.2| 1.4|11340|1927| 67.7| 1.9|21835|1927| 25.2| 3.8
PTF12dwm | 0.053200| 0.84|56053.0| -7.0|     |    |    |    |     |    |    |    |10209| 182| 26.8| 2.9|     |    |     |    |     |    |     |
PTF12dwm | 0.053200| 0.84|56053.0| -1.0|     |    |    |    | 9242|  45|25.4| 0.7| 9675|  11| 74.2| 0.3|10800|2510| 76.7|12.2|18779|2510| 42.8|13.3
PTF12dxm | 0.063000| 0.83|56053.4| -5.4| 9544| 310|30.8| 1.5|10486| 298|41.9| 0.4|11102| 298|132.4| 0.9|10772| 311|139.4| 1.4|19895| 311| 44.0| 0.6
PTF12dxm | 0.063000| 0.83|56053.4| -5.4| 9568| 300|27.8| 0.7|10489| 307|47.5| 2.3|11151| 300|136.9| 2.0|     |    |     |    |     |    |     |
PTF12dxm | 0.063000| 0.83|56053.4| -1.4|     |    |    |    | 9831| 298|34.7| 0.4|10505| 298|135.1| 0.5|     |    |     |    |     |    |     |
PTF12egr | 0.132000| 0.70|56065.7| -1.7|     |    |    |    |     |    |    |    |10490| 301| 39.8| 1.3|     |    |     |    |     |    |     |
PTF12elc | 0.131000| 1.14|56074.4|-10.4|12610| 301| 9.6| 0.4|     |    |    |    |16225| 299|179.1| 1.2|16502| 314|178.1|20.5|26253| 314|324.5|19.5
PTF12eqx | 0.111500| 0.93|56076.9| -7.9|11238| 101| 2.5| 0.7|     |    |    |    |10191|  70| 43.8| 1.4|     |    |     |    |     |    |     |
PTF12fhn | 0.125000| 1.13|56093.1|  0.9|     |    |    |    |     |    |    |    |10801| 307| 28.7| 0.5|     |    |     |    |     |    |     |
PTF12fsd | 0.069000| 0.95|56103.1|  0.9|     |    |    |    |     |    |    |    |10862| 299| 85.7| 1.1|     |    |     |    |     |    |     |
PTF12fut | 0.092000| 1.20|56109.2| -7.2|12363| 308|37.3| 1.8|12177| 298|28.6| 0.3|13760| 299|120.0| 1.5|13012|3148|139.2|13.3|20277|3148| 26.1|12.1
PTF12gdq | 0.033000| 0.93|56116.4|-12.4|     |    |    |    |10902| 331|12.4| 1.1|11814| 304| 40.5| 1.0|     |    |     |    |     |    |     |
PTF12giy | 0.028850| 1.08|56119.2| -6.2|     |    |    |    |     |    |    |    |11837|  85|157.4| 3.4|11911| 285|246.7|13.7|18924| 285|100.1| 4.8
PTF12giy | 0.028850| 1.08|56119.2|  0.8|     |    |    |    |     |    |    |    |12093| 177|137.5| 6.8|13771|3301|334.6|27.6|22186|3301| 40.6|15.3
PTF12gkn | 0.077000| 1.10|56119.1|  3.9|     |    |    |    |     |    |    |    |10453| 298| 43.0| 0.2|     |    |     |    |     |    |     |
PTF12gmf | 0.125300| 1.19|56118.7|  4.3|     |    |    |    |     |    |    |    |10622|  60| 39.4| 0.2|     |    |     |    |     |    |     |
PTF12gnw | 0.100000| 1.07|56125.4| -2.4| 8312| 312| 9.3| 0.7|     |    |    |    |10077| 298| 78.5| 0.7|     |    |     |    |     |    |     |
PTF12gpd | 0.116000| 1.09|56126.2| -6.2|     |    |    |    |     |    |    |    |10153| 298| 32.3| 0.3|     |    |     |    |     |    |     |
PTF12ggb | 0.053000| 0.87|56116.4| -3.4|     |    |    |    |     |    |    |    | 9949| 300|116.0| 2.6|     |    |     |    |     |    |     |
PTF12mj  | 0.069000| 1.22|55944.0|  2.0|     |    |    |    |     |    |    |    |10238| 299| 27.6| 0.6|     |    |     |    |     |    |     |
